City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ta`u,-14.2336,-169.5144,28.28,80,83,4.38,AS,1700026975
arraial do cabo,-22.9661,-42.0278,23.57,96,25,8.41,BR,1700026918
vadso,70.0744,29.7487,-1.51,86,20,5.14,NO,1700026910
san patricio,28.017,-97.5169,18.92,78,3,2.82,US,1700026979
alesund,62.4723,6.1549,2.64,84,0,0.51,NO,1700026898
santiago de cao,-7.9589,-79.2392,19.07,88,75,3.6,PE,1700027198
babu,24.4167,111.5167,16.24,78,100,0.77,CN,1700027198
chinde,26.8418,88.0763,20.82,46,42,2.25,NP,1700027198
kerema,-7.9631,145.7785,27.43,75,72,3.36,PG,1700027198
the pas,53.8251,-101.2541,-0.99,74,40,5.66,CA,1700027198
bela vista de goias,-16.9728,-48.9533,24.64,39,80,0.97,BR,1700027199
bredasdorp,-34.5322,20.0403,23.07,45,5,2.84,ZA,1700026907
nemuro,43.3236,145.575,5.09,50,16,1.49,JP,1700026919
novyy urgal,51.0736,132.5642,-6.72,71,13,0.31,RU,1700027200
rouissat,31.9243,5.3502,12.04,58,0,0.0,DZ,1700027200
nema,57.5067,50.5011,2.23,83,99,3.7,RU,1700027200
wailua homesteads,22.0669,-159.378,24.24,80,75,12.35,US,1700026907
labytnangi,66.6572,66.4183,-9.72,96,100,1.21,RU,1700027201
waitangi,-43.9535,-176.5597,13.79,80,98,1.34,NZ,1700026893
polyarnyy,69.1989,33.4478,-2.92,85,100,9.46,RU,1700026916
morehead,37.2711,-87.1764,9.44,87,0,0.0,US,1700027201
tuchola,53.5879,17.8591,7.73,86,100,4.15,PL,1700027202
dudinka,69.4058,86.1778,-10.21,92,100,9.48,RU,1700026781
dapa,9.7594,126.0531,28.56,75,47,4.24,PH,1700027202
bay roberts,47.5999,-53.2648,1.85,86,100,1.34,CA,1700027202
constantia,44.1833,28.65,12.61,63,100,2.38,RO,1700026978
mansoa,12.0733,-15.3189,21.99,94,23,0.3,GW,1700027202
aksu,41.1231,80.2644,7.78,31,0,2.23,CN,1700027203
letterkenny,54.95,-7.7333,8.12,77,33,7.05,IE,1700027203
talnakh,69.4865,88.3972,-10.44,85,100,6.28,RU,1700026904
taseyevo,57.2169,94.8978,-2.59,91,100,3.13,RU,1700027203
mayfield,36.7417,-88.6367,10.08,62,91,2.22,US,1700027203
margate,51.3813,1.3862,8.82,90,37,3.13,GB,1700027204
petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,71,0,5.81,RU,1700026898
harstad,68.799,16.5293,1.2,95,87,8.94,NO,1700027204
port mathurin,-19.6833,63.4167,26.12,76,100,6.55,MU,1700026896
udachny,66.4167,112.4,-20.57,100,68,2.0,RU,1700026904
rio grande,-32.035,-52.0986,19.41,97,100,2.42,BR,1700026738
tlahualilo de zaragoza,26.1167,-103.45,14.8,82,84,0.97,MX,1700027204
yuzhno-kurilsk,44.0306,145.8556,2.43,80,91,0.38,RU,1700027205
atar,20.5169,-13.0499,22.54,16,100,4.1,MR,1700027205
kamina,-8.7386,24.9906,19.59,95,100,1.16,CD,1700027205
puerto baquerizo moreno,-0.9,-89.6,23.33,87,100,4.61,EC,1700026936
puerto ayora,-0.7393,-90.3518,23.08,100,52,4.02,EC,1700026896
mitu,1.1983,-70.1733,23.33,98,99,1.37,CO,1700026971
ulanhot,46.0833,122.0833,2.01,46,68,3.32,CN,1700026950
anna regina,7.2644,-58.5077,27.06,84,15,3.86,GY,1700026985
tvoroyri,61.5556,-6.8111,7.61,69,100,7.4,FO,1700027206
rampur,28.8167,79.0333,25.28,33,0,1.71,IN,1700027206
punta arenas,-53.15,-70.9167,3.06,75,0,6.17,CL,1700026624
albany,42.6001,-73.9662,2.87,84,42,1.61,US,1700026899
touros,-5.1989,-35.4608,26.68,78,97,5.6,BR,1700026905
lakota,5.8528,-5.6883,21.54,99,23,0.84,CI,1700027206
nouadhibou,20.931,-17.0347,22.99,46,86,4.63,MR,1700027207
boundiali,9.5217,-6.4869,20.53,50,29,1.12,CI,1700027207
tazovsky,67.4667,78.7,-6.87,96,100,3.39,RU,1700026957
codrington,-38.2667,141.9667,15.6,64,86,6.85,AU,1700026976
crane,31.3974,-102.3501,12.67,84,86,3.89,US,1700026957
denia,38.8408,0.1057,19.35,57,2,0.45,ES,1700027208
chake chake,-5.2459,39.7666,27.49,82,52,3.29,TZ,1700027208
machico,32.7,-16.7667,20.35,78,20,3.6,PT,1700026938
shirochanka,46.6497,38.3978,10.87,95,100,6.76,RU,1700027208
ofunato,39.0717,141.7167,11.72,58,100,0.89,JP,1700027208
utrik,11.2278,169.8474,27.58,82,100,8.36,MH,1700026909
yeniseysk,58.4497,92.1703,0.03,97,100,3.79,RU,1700027208
baharly,38.4362,57.4316,23.14,23,35,0.06,TM,1700027209
isafjordur,66.0755,-23.124,2.3,65,54,2.47,IS,1700026921
longyearbyen,78.2186,15.6401,-13.09,72,75,1.54,SJ,1700026896
weno,7.4515,151.8468,30.97,74,100,1.54,FM,1700026955
remire-montjoly,4.9167,-52.2667,24.02,100,20,0.0,GF,1700026911
katsuura,35.1333,140.3,15.06,72,80,5.55,JP,1700027209
lucapa,-8.4192,20.7447,20.16,85,70,0.33,AO,1700027209
ribeira grande,38.5167,-28.7,20.21,92,100,8.05,PT,1700026903
ulan bator,47.9077,106.8832,-4.93,74,40,7.0,MN,1700027094
ak-dovurak,51.1833,90.6,-8.83,87,73,0.45,RU,1700027210
parkes,-33.1333,148.1833,30.2,22,12,6.95,AU,1700027210
muroto-misakicho,33.2833,134.15,15.27,60,21,1.38,JP,1700027211
hawaiian paradise park,19.5933,-154.9731,23.73,83,100,6.17,US,1700026643
aasiaat,68.7098,-52.8699,-16.03,98,70,2.33,GL,1700026898
zalingei,12.9096,23.4741,25.62,32,81,7.59,SD,1700027212
villa gesell,-37.2639,-56.973,12.81,89,91,5.59,AR,1700027212
kapuskasing,49.4169,-82.4331,4.05,70,75,6.17,CA,1700026925
cabo san lucas,22.8909,-109.9124,26.4,66,99,1.68,MX,1700026801
vorgashor,67.5833,63.95,-6.74,96,100,0.82,RU,1700026951
mizque,-17.941,-65.3402,18.7,76,17,1.88,BO,1700027213
beacon square,28.2086,-82.7554,22.28,83,100,2.24,US,1700027213
zhosaly,45.4878,64.0781,10.25,32,62,5.31,KZ,1700027214
vilyuchinsk,52.9306,158.4028,-0.85,76,100,3.98,RU,1700026906
saint-francois,46.4154,3.9054,9.69,88,100,1.54,FR,1700026959
beylikova,39.6869,31.2056,9.77,56,46,1.81,TR,1700027214
sola,-13.8833,167.55,25.48,72,71,6.48,VU,1700027214
muynoq,43.7683,59.0214,13.2,35,87,5.29,UZ,1700027214
demba,-5.51,22.2667,22.59,79,63,0.62,CD,1700027214
viiala,61.2102,23.7674,-2.82,93,100,1.9,FI,1700027215
ouadda,8.0777,22.4007,23.01,87,97,0.49,CF,1700027215
al abyar,32.19,20.5965,17.94,81,48,3.34,LY,1700027215
palangkaraya,-2.2,113.8333,35.48,44,98,1.18,ID,1700027215
kanniyakumari,8.0833,77.5667,28.6,69,95,1.06,IN,1700027215
port elizabeth,-33.918,25.5701,17.95,76,0,5.14,ZA,1700026923
paka,4.6374,103.4368,31.96,70,40,2.06,MY,1700026989
uliastay,47.7417,96.8444,-8.94,80,9,0.71,MN,1700027216
hithadhoo,-0.6,73.0833,27.74,78,88,6.13,MV,1700026941
youghal,51.95,-7.8506,6.56,99,4,4.5,IE,1700027216
christchurch,-43.5333,172.6333,17.45,65,40,7.2,NZ,1700026846
lebu,-37.6167,-73.65,7.31,75,23,4.13,CL,1700026904
west island,-12.1568,96.8225,27.99,69,40,5.66,CC,1700026908
moreira sales,-24.0622,-53.0069,23.14,75,69,4.71,BR,1700027217
hammerfest,70.6634,23.6821,0.25,59,40,6.17,NO,1700026952
afaahiti,-17.75,-149.2833,23.93,86,100,8.66,PF,1700026895
college,64.8569,-147.8028,-5.03,80,75,1.54,US,1700026905
margaret river,-33.95,115.0667,22.05,50,21,8.02,AU,1700026909
igarka,67.4667,86.5833,-11.83,95,100,8.72,RU,1700027217
yokadouma,3.5167,15.05,21.05,97,100,0.28,CM,1700027218
yunyang,33.4474,112.7142,12.9,57,100,0.4,CN,1700027218
ibiuna,-23.6564,-47.2225,23.22,92,92,3.62,BR,1700027218
amursk,50.2261,136.8994,-7.79,88,100,3.52,RU,1700027218
urangan,-25.3,152.9,24.15,81,1,9.29,AU,1700026728
chonchi,-42.6128,-73.8092,6.73,98,100,2.6,CL,1700026919
uturoa,-16.7333,-151.4333,26.13,81,100,9.61,PF,1700026996
san antonio de pale,-1.4014,5.6325,26.21,80,100,4.69,GQ,1700027010
arar,30.9753,41.0381,17.01,82,32,0.0,SA,1700027219
lihue,21.9789,-159.3672,24.58,74,75,12.35,US,1700027219
iskateley,67.6803,53.1512,-13.88,96,93,2.24,RU,1700026938
raja,8.4596,25.678,25.8,70,91,0.53,SS,1700027219
bayramaly,37.6185,62.1671,13.86,20,67,4.38,TM,1700027219
egilsstadir,65.2653,-14.3948,0.95,93,75,0.51,IS,1700026937
independencia,-5.3964,-40.3086,24.81,74,100,3.53,BR,1700027220
kavieng,-2.5744,150.7967,28.83,69,43,2.19,PG,1700026892
sao joao da barra,-21.6403,-41.0511,23.17,90,4,1.31,BR,1700027220
pariaman,-0.619,100.12,30.03,81,50,1.88,ID,1700027220
guichon,-32.35,-57.2,17.34,98,100,3.57,UY,1700027220
tolanaro,-25.0319,46.9987,22.04,78,75,2.06,MG,1700027221
geraldton,-28.7667,114.6,26.23,61,75,5.66,AU,1700026924
mejit,10.2753,170.8646,28.16,83,100,7.92,MH,1700026968
sumenep,-7.0167,113.8667,31.81,59,100,3.09,ID,1700027039
nasir,15.5894,32.5634,30.05,34,71,7.68,SD,1700027221
hamilton,39.1834,-84.5333,8.85,58,0,2.57,US,1700026918
silver city,32.7701,-108.2803,9.27,85,0,1.79,US,1700027222
mount pearl,47.5166,-52.7813,0.53,83,100,2.24,CA,1700026911
susuman,62.7833,148.1667,-32.34,98,64,0.29,RU,1700026938
tiksi,71.6872,128.8694,-16.66,86,73,7.16,RU,1700026946
keflavik,64.0049,-22.5624,7.24,65,0,10.8,IS,1700026901
fortuna,40.5982,-124.1573,14.96,94,100,6.69,US,1700026962
acajutla,13.5928,-89.8275,26.36,84,99,2.02,SV,1700027222
paracuru,-3.41,-39.0306,27.28,84,72,5.78,BR,1700027222
ust'-ilimsk,58.0006,102.6619,-8.77,72,100,3.45,RU,1700027223
sinop,41.7711,34.8709,3.24,66,80,5.98,TR,1700026986
whitehorse,60.7161,-135.0538,-6.57,68,75,3.6,CA,1700026633
broome,42.2506,-75.833,1.22,83,0,2.06,US,1700027223
dryden,49.7833,-92.7503,5.16,52,75,7.72,CA,1700027223
cuajinicuilapa,16.4667,-98.4167,25.06,85,6,1.47,MX,1700027224
port alfred,-33.5906,26.891,19.54,74,71,2.24,ZA,1700026897
juneau,58.3019,-134.4197,0.23,97,100,0.0,US,1700027064
talakan,50.3167,130.3667,-3.42,78,64,0.69,RU,1700026984
deqen,29.9618,90.7188,9.63,23,64,2.15,CN,1700027224
ponta delgada,37.7333,-25.6667,20.4,100,75,7.2,PT,1700027001
alice springs,-23.7,133.8833,37.75,14,35,8.23,AU,1700026971
georgetown,5.4112,100.3354,31.96,70,20,4.63,MY,1700026906
knyaze-volkonskoye,48.4642,135.4567,-2.22,83,37,2.68,RU,1700027225
pacific grove,36.6177,-121.9166,14.25,80,0,3.09,US,1700026745
mili,6.0815,171.735,26.72,89,100,8.21,MH,1700027225
kasongo-lunda,-6.4667,16.8167,22.66,96,98,0.57,CD,1700027225
bel ombre,-4.6167,55.4167,29.91,70,40,4.63,SC,1700027225
le port,-20.9373,55.2919,28.98,87,34,0.85,RE,1700027226
bilibino,68.0546,166.4372,-25.7,100,100,0.3,RU,1700026894
selfoss,63.9331,-20.9971,1.0,78,58,4.13,IS,1700027226
magadan,59.5667,150.8,-16.37,70,2,1.72,RU,1700027226
avarua,-21.2078,-159.775,21.03,83,75,2.57,CK,1700026903
inari,68.906,27.0288,-3.89,89,100,2.98,FI,1700027226
bantogon,6.5333,124.0333,28.89,73,38,2.01,PH,1700027227
saint-pierre,-21.3393,55.4781,27.82,61,9,1.54,RE,1700027006
limassol,34.675,33.0333,18.04,63,20,1.54,CY,1700027084
cameta,-2.2444,-49.4958,26.56,81,100,3.13,BR,1700027227
izhevsk,56.85,53.2333,2.41,96,66,2.24,RU,1700027227
pingliang,35.5392,106.6861,5.88,38,98,10.56,CN,1700027228
la'ie,21.6477,-157.9253,24.98,72,83,5.81,US,1700026967
aberdeen,57.1437,-2.0981,8.27,88,20,2.57,GB,1700027228
nar'yan-mar,67.6713,53.087,-13.83,96,92,2.24,RU,1700026920
vilyuysk,63.7553,121.6247,-7.78,91,100,4.47,RU,1700026942
mapimi,25.8167,-103.85,13.88,84,97,1.28,MX,1700027229
qaqortoq,60.7167,-46.0333,-3.95,83,86,1.67,GL,1700026929
vikhorevka,56.1201,101.1636,-7.23,71,93,2.65,RU,1700027230
taro,-8.3862,115.28,27.0,65,72,2.37,ID,1700027230
belgrade,44.804,20.4651,12.81,97,75,4.63,RS,1700027230
kavaratti,10.5669,72.642,28.41,63,100,2.52,IN,1700026910
pachino,36.7186,15.0907,19.74,67,76,8.17,IT,1700027231
stanley,54.868,-1.6985,8.07,93,75,5.14,GB,1700026900
salinas,36.6777,-121.6555,14.2,77,0,3.09,US,1700026984
swan hill,-35.3378,143.5544,28.64,20,31,4.89,AU,1700026978
qarazhal,48.0078,70.7903,7.75,43,2,8.96,KZ,1700027231
cill airne,52.05,-9.5167,6.0,90,11,2.72,IE,1700027231
faaa,-17.55,-149.6,24.98,78,20,8.75,PF,1700027231
bubaque,11.2833,-15.8333,27.74,74,83,3.38,GW,1700026991
bandarbeyla,9.4942,50.8122,27.94,74,91,7.63,SO,1700027232
kokstad,-30.5472,29.4241,18.46,55,6,0.86,ZA,1700027232
bikenibeu village,1.3673,173.1241,24.98,94,100,2.06,KI,1700026967
phongsali,21.6833,102.1058,20.64,69,93,0.5,LA,1700027232
vila velha,-20.3297,-40.2925,24.97,83,20,6.26,BR,1700027232
palikir - national government center,6.9248,158.1611,28.47,84,100,2.57,FM,1700026892
olovyannaya,50.95,115.5667,-1.85,73,100,6.62,RU,1700027233
moyynkum,44.2914,72.9469,10.63,32,49,3.77,KZ,1700027233
montrose,38.4166,-108.2673,-0.26,53,35,1.98,US,1700027233
bulayevo,54.9056,70.4439,4.74,61,100,8.61,KZ,1700027233
flying fish cove,-10.4217,105.6791,27.82,74,75,4.12,CX,1700026957
fonte boa,-2.4959,-66.2662,24.95,83,61,1.12,BR,1700027233
masterton,-40.9597,175.6575,14.94,71,76,2.63,NZ,1700026988
callao,-12.0667,-77.15,20.4,82,75,5.66,PE,1700026917
atafu village,-8.5421,-172.5159,28.77,79,50,3.83,TK,1700026918
hoyo de manzanares,40.6223,-3.9087,10.88,85,29,0.89,ES,1700027234
loukhi,66.0764,33.0381,-9.66,94,55,1.86,RU,1700027234
olonkinbyen,70.9221,-8.7187,-1.26,76,100,2.78,SJ,1700026903
thunder bay,48.4001,-89.3168,0.99,93,100,3.6,CA,1700026900
kazaure,12.6513,8.4162,24.79,24,100,4.01,NG,1700027235
lucas,41.6501,-83.6666,5.07,60,0,4.12,US,1700027235
dwarka,22.2394,68.9678,28.46,37,0,5.12,IN,1700026981
rumoi,43.9344,141.6428,4.03,86,92,2.83,JP,1700027236
pirae,-17.5167,-149.5333,25.01,78,20,8.75,PF,1700027236
mahina,-17.5065,-149.489,24.87,78,20,8.75,PF,1700027236
novodvinsk,64.4165,40.8122,-6.23,92,34,2.25,RU,1700027236
usinsk,65.9939,57.5281,-3.85,97,100,4.47,RU,1700027236
haiku-pauwela,20.9219,-156.3051,23.91,78,75,6.69,US,1700026969
paese,45.6759,12.161,8.82,92,100,0.51,IT,1700027237
ust-nera,64.5667,143.2,-30.48,98,74,2.27,RU,1700026944
mazamari,-11.3258,-74.5308,20.99,98,86,0.82,PE,1700027237
lamu,-2.2717,40.902,27.12,71,40,3.68,KE,1700027237
castillos,-34.1667,-53.8333,16.35,94,58,3.1,UY,1700026959
leninskoye,41.7589,69.3864,16.57,14,46,0.76,KZ,1700027238
saacow,1.6279,42.4407,28.09,73,92,2.6,SO,1700027238
nuriootpa,-34.4833,139.0,22.99,27,37,5.56,AU,1700027238
revda,56.801,59.9303,1.61,99,100,1.75,RU,1700027005
sittwe,20.15,92.9,29.4,64,83,2.15,MM,1700027238
luderitz,-26.6481,15.1594,18.17,73,60,3.37,NA,1700026991
howrah,22.5892,88.3103,30.0,51,40,3.09,IN,1700026931
prince rupert,54.3161,-130.3201,5.83,80,100,10.29,CA,1700027239
anadyr,64.75,177.4833,-16.72,85,75,7.0,RU,1700026911
rustaq,23.3908,57.4244,26.83,32,94,1.37,OM,1700027239
sumbawa besar,-8.5,117.4333,33.85,49,51,2.97,ID,1700027240
port saint john's,-31.6229,29.5448,20.31,64,32,7.17,ZA,1700027240
timimoun,29.2639,0.231,14.21,47,0,4.63,DZ,1700027240
voi,-3.3945,38.563,25.86,68,39,3.23,KE,1700027240
richards bay,-28.783,32.0377,19.26,70,100,4.45,ZA,1700026979
gambela,8.25,34.5833,26.18,71,50,1.62,ET,1700027241
tralee,52.2704,-9.7026,8.24,79,14,4.74,IE,1700026919
posto fiscal rolim de moura,-13.0833,-62.2667,25.0,70,31,0.53,BR,1700026935
kembe,4.6228,21.8865,22.22,92,98,0.78,CF,1700027241
ancud,-41.8697,-73.8203,8.32,83,100,7.04,CL,1700026911
pokrovka,42.3414,78.0056,5.87,43,0,0.9,KG,1700027241
kaka,37.3482,59.6143,24.44,17,0,1.45,TM,1700027241
praia da vitoria,38.7333,-27.0667,22.14,83,75,9.12,PT,1700026920
brejo santo,-7.4933,-38.9872,28.13,64,100,1.63,BR,1700027242
tanout,14.9709,8.8879,22.07,21,70,5.7,NE,1700027242
sisimiut,66.9395,-53.6735,-10.44,81,4,3.84,GL,1700026961
berryville,36.3648,-93.568,11.15,67,0,1.63,US,1700027242
nuuk,64.1835,-51.7216,-8.25,78,94,3.41,GL,1700026925
kisangani,0.5167,25.2,21.67,100,100,0.43,CD,1700027243
dingcheng,32.1272,115.0394,13.39,51,82,1.26,CN,1700027243
volkhov,59.9258,32.3382,-1.87,95,93,1.53,RU,1700027243
mhamid,29.82,-5.72,19.03,24,0,1.69,MA,1700027243
port douglas,-16.4833,145.4667,26.25,57,64,2.57,AU,1700027244
kidal,18.4411,1.4078,21.42,19,0,7.4,ML,1700026914
ad dilam,23.9915,47.1627,24.23,32,100,5.41,SA,1700027244
carnarvon,-24.8667,113.6333,23.96,64,25,7.28,AU,1700026900
klyuchi,52.2667,79.1667,6.38,55,63,7.41,RU,1700026894
gorontalo,0.5412,123.0595,29.76,75,92,1.03,ID,1700026979
bennett springs,-31.8581,115.9423,30.02,45,0,7.2,AU,1700027244
hermanus,-34.4187,19.2345,23.53,47,3,2.86,ZA,1700026656
yamada,39.4667,141.95,10.6,63,100,1.61,JP,1700027245
hirado,33.3597,129.5531,14.1,56,47,4.74,JP,1700027245
st. john's,47.5649,-52.7093,0.99,83,100,4.47,CA,1700026905
aioun,16.6614,-9.6149,22.51,16,8,4.86,MR,1700027245
richmond,37.5538,-77.4603,4.93,84,75,0.0,US,1700027182
shagonar,51.5333,92.8,-5.66,88,100,1.2,RU,1700026934
cockburn town,21.4612,-71.1419,28.07,66,100,8.35,TC,1700026950
porto novo,6.4965,2.6036,24.9,86,50,0.7,BJ,1700027246
port hedland,-20.3167,118.5667,34.03,43,0,8.75,AU,1700027246
vernon,50.2581,-119.2691,3.85,63,100,1.54,CA,1700027246
coahuayana de hidalgo,18.7,-103.6583,25.65,84,1,1.48,MX,1700027247
boise,43.6135,-116.2035,8.3,65,0,1.54,US,1700027247
bordighera,43.7806,7.6645,17.97,85,31,2.16,IT,1700027247
langepas,61.2544,75.2124,0.98,99,100,5.54,RU,1700027247
valdepenas,38.7621,-3.3848,10.45,75,7,1.01,ES,1700027247
minas de marcona,-15.2119,-75.1103,14.04,88,76,5.09,PE,1700026953
kailua-kona,19.6406,-155.9956,25.98,86,0,10.29,US,1700026688
sydney,-33.8679,151.2073,25.88,74,75,9.26,AU,1700027151
forster,-32.1667,152.5167,24.6,72,82,4.3,AU,1700026893
hadibu,12.65,54.0333,28.28,76,49,6.29,YE,1700026962
maragogi,-9.0122,-35.2225,24.18,88,76,3.03,BR,1700027248
rongelap,11.1635,166.8941,27.98,83,92,8.73,MH,1700026894
korocha,50.8107,37.1953,5.4,92,100,4.69,RU,1700027249
bandar lampung,-5.4254,105.258,30.96,61,81,3.11,ID,1700027249
woolgoolga,-30.1106,153.2007,25.93,82,88,2.48,AU,1700027249
narayangarh,30.4833,77.1333,25.46,36,0,1.96,IN,1700027249
island harbour,50.724,-1.2758,11.1,85,26,2.24,GB,1700027249
gadzhiyevo,69.2551,33.3362,-3.34,85,100,9.8,RU,1700026915
saint-joseph,-21.3667,55.6167,27.21,77,35,3.8,RE,1700027250
robore,-18.3333,-59.75,25.17,69,51,1.92,BO,1700027250
ghat,24.9647,10.1728,16.24,56,0,0.9,LY,1700027250
kharp,66.8014,65.8081,-9.6,96,100,0.54,RU,1700027250
sambava,-14.2667,50.1667,27.89,67,6,2.56,MG,1700026968
poyang,28.9924,116.6675,16.01,56,100,1.35,CN,1700027251
kralendijk,12.15,-68.2667,28.99,79,8,6.69,BQ,1700027251
khromtau,50.2503,58.4347,6.24,63,100,6.18,KZ,1700026968
new plymouth,-39.0667,174.0833,14.06,72,48,5.02,NZ,1700027251
kasungu,-13.0333,33.4833,22.38,54,50,5.11,MW,1700027251
sidi khaled,34.387,4.9879,15.9,46,0,1.71,DZ,1700027252
kapa'a,22.0752,-159.319,24.99,79,75,12.35,US,1700027252
chibougamau,49.9168,-74.3659,-3.21,93,100,4.12,CA,1700027252
mancio lima,-7.6142,-72.8958,22.4,99,94,0.48,BR,1700027252
murun-kuren,49.6342,100.1625,-4.28,53,12,5.6,MN,1700027252
tommot,58.9564,126.2925,-2.92,95,100,2.28,RU,1700026921
betio village,1.358,172.9211,25.02,79,100,6.18,KI,1700026944
acarau,-2.8856,-40.12,26.64,84,70,6.57,BR,1700026896
akhalk'alak'i,41.4051,43.4863,7.64,81,98,1.24,GE,1700027253
antalaha,-14.9003,50.2788,27.82,67,10,1.97,MG,1700027253
labrador city,52.9463,-66.9114,-12.05,85,100,1.54,CA,1700026970
vorkuta,67.5,64.0,-6.38,96,100,0.74,RU,1700026993
chunskiy,56.0815,99.6342,-7.4,84,99,1.99,RU,1700027254
tamanrasset,22.785,5.5228,15.95,31,0,5.14,DZ,1700027254
malango,-2.9627,119.9001,27.4,67,56,2.04,ID,1700027254
jeanerette,29.911,-91.6635,16.05,95,100,4.37,US,1700027254
matoury,4.8483,-52.3317,23.98,100,20,0.0,GF,1700027255
yaren,-0.5472,166.916,28.65,76,91,7.79,NR,1700027255
micheweni,-4.9667,39.8333,27.36,82,44,3.1,TZ,1700027005
antofagasta,-23.65,-70.4,16.6,83,77,2.21,CL,1700026955
nadym,65.5333,72.5167,-5.13,96,90,4.41,RU,1700026959
mudon,16.2578,97.7164,30.22,65,100,1.74,MM,1700027255
arauca,7.0847,-70.7591,22.86,96,40,2.04,CO,1700026986
cestos city,5.46,-9.5828,25.99,85,65,1.06,LR,1700027256
noosa heads,-26.3833,153.15,30.19,72,19,8.02,AU,1700027073
sabzevar,36.2126,57.6819,13.6,38,0,5.14,IR,1700027256
rozhyshche,50.9154,25.2691,8.53,91,48,4.91,UA,1700027256
canutama,-6.5339,-64.3831,25.49,78,18,1.0,BR,1700027256
manta,-0.95,-80.7333,23.88,83,100,5.14,EC,1700026706
sabang,5.8933,95.3214,27.01,80,100,4.57,ID,1700027004
mananjary,-21.2167,48.3333,22.24,86,80,4.0,MG,1700026996
